,comment,date,image,is_fake
0,"Сегодня забрала на почте! Качество отличное, упаковано всё аккуратно, размер соответствует, на ноге сидят хорошо Спасибо большое, отличный сервис, да ещё и цены не заламываете, буду заказывать ещё ",25 ноя 2017 в 6:46,True,1
1,"Вчера получила, до сих пор не нарадуюсь и про отзыв забыла Спасибо ",27 ноя 2017 в 16:20,True,1
2,Спасибо большое Всё отлично! Очень нравится ,28 ноя 2017 в 14:07,True,1
3,Спасибо за офигенные кроссы &#129303;,1 дек 2017 в 20:55,True,1
4,"Всё получила, переживала за качество и что другой цвет будет, но всё как на фото) Отдельное спасибо, что помогли определить размер по сантиметрам, раньше не умела так, буду знать, хорошей вам работы!))",2 дек 2017 в 17:22,True,1
5,"Вот и я свой заказ получила, хочу скидку ещё заказать ",14 дек 2017 в 10:29,True,1
6,"Приехали Теперь только к вам, я рада, почаще бы скидки! ",16 дек 2017 в 8:30,True,1
7,"Отличные кроссовки, только из распаковала)))запечатали на совесть)) всё по заказу, спасибо)",19 дек 2017 в 7:56,True,1
8,Спасибо ,19 дек 2017 в 8:46,True,1
9,&#129303;ура спасибо&#128571;&#128571;&#128571;,5 янв 2018 в 19:41,True,1
10,"С удовольствием оставлю фото, получили без проблем))",8 янв 2018 в 8:26,True,1
11,Заказ получила!)&#128522;,8 янв 2018 в 15:55,True,1
12,"Отличный магазин!) Всё вежливо и понятно подсказали, быстро оформили и отправили заказ, что меня очень порадовало! Сами кросоовки тоже очень и очень хорошие, не придраться, советую!",10 янв 2018 в 0:16,True,1
13,Спасибо большое!),10 янв 2018 в 11:03,True,1
14,спасибо &#9996;,15 янв 2018 в 11:50,True,1
15,Получила! Желаю вам развития и процветания! ,15 янв 2018 в 15:33,True,1
16,"Очень рада, что узнала о вашей группе от подруги!) Это действительно сложно найти магазин в интернете, где быстро отвечают всё подсказывают и оформляют заказ, у меня это заняло минут 10, почта не подвела, получила всё вовремя, но самое главное это же сам товар))) а к нему вопросов ноль, думаю фото заменит все слова)) Спасибо, успехов)",15 янв 2018 в 18:23,True,1
17,Всё хорошо &#128077;&#128522;,16 янв 2018 в 10:01,True,1
18,"Вчера вечером забрала, сразу взяла их в зал спасибо за помощь в выборе, действительно шикарная модель ",16 янв 2018 в 10:33,True,1
19,Только с почты))),17 янв 2018 в 10:00,True,1
20,"Заказывала 2 пары, сегодня получила, вроде всё классно ",17 янв 2018 в 12:32,True,1
21,Получила! Спасибо!) Будем заказывать ещё),18 янв 2018 в 12:12,True,1
22,"Очень довольна качеством, сроком доставки и оформления заказа, хороший магазин ",20 янв 2018 в 13:12,True,1
23,"Искала именно максы, очень понравились в этом цвете, ещё и по такой цене и ждать под заказ месяц ненужно как во многих магазах, сразу решила заказать надеюсь каталог у вас будет только расширяться, заказала бы ещё что нить!) ",20 янв 2018 в 16:00,True,1
24,"Получила, спасибо!&#128150;",22 янв 2018 в 17:49,True,1
25,"Большое спасибо вам! Неожиданно хорошо работаете для небольшого магазина, желаю вам развития в это непростое время!)",25 янв 2018 в 18:05,True,1
26,"Хорошие кроссовки, спасибо)",1 фев 2018 в 13:29,True,1
