,comment,date,image,is_fake,lemmas,stem
0,"сегодня   забирать   на   почта    качество   отличный    упаковывать   все   аккуратно    размер   соответствовать    на   нога   сидеть   хорошо   спасибо   большой    отличный   сервис    да   еще   и   цена   не   заламывать    быть   заказывать   еще 
",25 ноя 2017 в 6:46,True,1,"['сегодня', 'забирать', 'на', 'почта', 'качество', 'отличный', 'упаковывать', 'все', 'аккуратно', 'размер', 'соответствовать', 'на', 'нога', 'сидеть', 'хорошо', 'спасибо', 'большой', 'отличный', 'сервис', 'да', 'еще', 'и', 'цена', 'не', 'заламывать', 'быть', 'заказывать', 'еще']","['сегодн', 'забира', 'на', 'почт', 'качеств', 'отличн', 'упаковыва', 'все', 'аккуратн', 'размер', 'соответствова', 'на', 'ног', 'сидет', 'хорошо', 'спасиб', 'больш', 'отличн', 'сервис', 'да', 'еще', 'и', 'цен', 'не', 'заламыва', 'быть', 'заказыва', 'еще']"
1,"вчера   получать    до   сей   пора   не   нарадоваться   и   про   отзыв   забывать   спасибо 
",27 ноя 2017 в 16:20,True,1,"['вчера', 'получать', 'до', 'сей', 'пора', 'не', 'нарадоваться', 'и', 'про', 'отзыв', 'забывать', 'спасибо']","['вчер', 'получа', 'до', 'се', 'пор', 'не', 'нарадова', 'и', 'про', 'отз', 'забыва', 'спасиб']"
2,"спасибо   большой   все   отличный    очень   нравиться 
",28 ноя 2017 в 14:07,True,1,"['спасибо', 'большой', 'все', 'отличный', 'очень', 'нравиться']","['спасиб', 'больш', 'все', 'отличн', 'очен', 'нрав']"
3,"спасибо   за   офигенный   кросс 
",1 дек 2017 в 20:55,True,1,"['спасибо', 'за', 'офигенный', 'кросс']","['спасиб', 'за', 'офиген', 'кросс']"
4,"все   получать    переживать   за   качество   и   что   другой   цвет   быть    но   все   как   на   фото    отдельный   спасибо    что   помогать   определять   размер   по   сантиметр    рано   не   уметь   так    быть   знать    хороший   вы   работа 
",2 дек 2017 в 17:22,True,1,"['все', 'получать', 'переживать', 'за', 'качество', 'и', 'что', 'другой', 'цвет', 'быть', 'но', 'все', 'как', 'на', 'фото', 'отдельный', 'спасибо', 'что', 'помогать', 'определять', 'размер', 'по', 'сантиметр', 'рано', 'не', 'уметь', 'так', 'быть', 'знать', 'хороший', 'вы', 'работа']","['все', 'получа', 'пережива', 'за', 'качеств', 'и', 'что', 'другой', 'цвет', 'быть', 'но', 'все', 'как', 'на', 'фот', 'отдельн', 'спасиб', 'что', 'помога', 'определя', 'размер', 'по', 'сантиметр', 'ран', 'не', 'умет', 'так', 'быть', 'знат', 'хорош', 'вы', 'работ']"
5,"вот   и   я   свой   заказ   получать    хотеть   скидка   еще   заказывать 
",14 дек 2017 в 10:29,True,1,"['вот', 'и', 'я', 'свой', 'заказ', 'получать', 'хотеть', 'скидка', 'еще', 'заказывать']","['вот', 'и', 'я', 'сво', 'заказ', 'получа', 'хотет', 'скидк', 'еще', 'заказыва']"
6,"приезжать   теперь   только   к   вы    я   рад    часто   бы   скидка 
",16 дек 2017 в 8:30,True,1,"['приезжать', 'теперь', 'только', 'к', 'вы', 'я', 'рад', 'часто', 'бы', 'скидка']","['приезжа', 'теперь', 'только', 'к', 'вы', 'я', 'рад', 'част', 'бы', 'скидк']"
7,"отличный   кроссовок    только   из   распаковывать     запечатывать   на   совесть     все   по   заказ    спасибо 
",19 дек 2017 в 7:56,True,1,"['отличный', 'кроссовок', 'только', 'из', 'распаковывать', 'запечатывать', 'на', 'совесть', 'все', 'по', 'заказ', 'спасибо']","['отличн', 'кроссовок', 'только', 'из', 'распаковыва', 'запечатыва', 'на', 'совест', 'все', 'по', 'заказ', 'спасиб']"
8,"спасибо 
",19 дек 2017 в 8:46,True,1,['спасибо'],['спасиб']
9,"ура   спасибо 
",5 янв 2018 в 19:41,True,1,"['ура', 'спасибо']","['ур', 'спасиб']"
